X,Y,OBJECTID,DATASET_EN,DATASET_TC,NAME_EN,ADDRESS_EN,NAME_TC,ADDRESS_TC,SEARCH01_EN,SEARCH01_TC,NSEARCH01_EN,NSEARCH01_TC,NORTHING,EASTING,LATITUDE,LONGITUDE,LASTUPDATE
12719755.9864085,2551501.64160813,1,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,2033180,CLEAR WATER BAY RD A KUNG WAN,2033180,CLEAR WATER BAY RD A KUNG WAN,TOW,TOW,1,1,821505.2,845193.4,22.33257209,114.26351179,2025/07/30 11:44:47+00
12703567.9287646,2556265.06592809,2,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,487025,1 CHUNG ON ST TSUEN WAN,487025,1 CHUNG ON ST TSUEN WAN,TOW,TOW,2,2,825886.2,830214,22.37214738,114.11809255,2025/07/30 11:44:47+00
12707505.908502,2552460.96194327,3,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,1669327,1 KWONG SHING ST,1669327,1 KWONG SHING ST,TOW,TOW,1,1,822385.5,833856.8,22.34054384,114.15346734,2025/07/30 11:44:47+00
12711170.5270165,2543856.25955514,4,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,5140464,1 MIN FAT ST,5140464,1 MIN FAT ST,TOW,TOW,1,1,814466.3,837248.5,22.26902954,114.18638794,2025/07/30 11:44:47+00
12709223.2388564,2548348.96948447,5,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,289698,1 RECLAMATION ST,289698,1 RECLAMATION ST,TOW,TOW,1,1,818601.5,835445.8,22.30637335,114.16889497,2025/07/30 11:44:47+00
12709343.3462694,2548990.73070593,6,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,194930,1 TEMPLE ST,194930,1 TEMPLE ST,TOW,TOW,1,1,819192.1,835557,22.31170688,114.16997334,2025/07/30 11:44:47+00
12711990.5155233,2544777.51172542,7,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,605293,1 YIK KWAN AVE,605293,1 YIK KWAN AVE,TOW,TOW,5,5,815314.4,838007.6,22.27668806,114.19375366,2025/07/30 11:44:47+00
12713185.7855603,2546516.69878567,8,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,1839563,1/11 HEALTHY ST W,1839563,1/11 HEALTHY ST W,TOW,TOW,26,26,816915.4,839113.9,22.2911444,114.20449082,2025/07/30 11:44:47+00
12710838.8354421,2543853.23569681,9,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,791980,1/1B FUNG FAI TERRACE,791980,1/1B FUNG FAI TERRACE,TOW,TOW,1,1,814463.5,836941.4,22.2690043,114.18340806,2025/07/30 11:44:47+00
12710630.3094807,2545039.75239683,10,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,1025127,1/2 CANAL RD E,1025127,1/2 CANAL RD E,TOW,TOW,1,1,815555.7,836748.3,22.27886752,114.1815349,2025/07/30 11:44:47+00
12708907.6158849,2550559.87982977,11,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,176207,1/3 CEDAR ST,176207,1/3 CEDAR ST,TOW,TOW,2,2,820636.1,835153.8,22.32474719,114.16605982,2025/07/30 11:44:47+00
12712447.9049662,2553009.11116774,12,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,1038269,1/3 KAM FUNG ST,1038269,1/3 KAM FUNG ST,TOW,TOW,2,2,822889.8,838430,22.34509811,114.19786287,2025/07/30 11:44:47+00
12709824.9577475,2544467.89458899,13,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,691776,1/3 KING SING ST,691776,1/3 KING SING ST,TOW,TOW,3,3,815029.3,836002.7,22.27411406,114.17430006,2025/07/30 11:44:47+00
