"Year","Month","Demolition","Demolition (single storey village house/squatter hut)","demolition (bamboo scaffold attached to the external walls of a premises)","Building repair","Investigation on buildings Defects","Hillsides repairs","Buried services investigation","Removal of dangerous advertising signs","Removal of unauthorised building works","Defective drainage repairs/investigation","Prescribed inspection/repair for buildings","Prescribed inspection/repair for windows","Total"
"2011","6","0","0","0","34","2","13","0","12","275","18","0","0","354"
"2011","7","0","0","0","46","6","6","0","9","249","17","0","0","333"
"2011","8","0","0","0","41","4","8","0","34","762","41","0","0","890"
"2011","9","3","2","0","27","7","6","0","27","591","27","0","0","688"
"2011","10","1","1","0","36","9","6","0","28","780","22","0","0","882"
"2011","11","0","0","0","54","3","5","0","19","1191","25","0","0","1297"
"2011","12","1","0","1","27","9","11","0","9","1336","33","0","0","1426"
"2012","1","0","0","0","13","4","15","0","10","305","20","0","0","367"
"2012","2","0","0","0","20","6","12","0","19","680","19","0","0","756"
"2012","3","0","0","0","25","14","9","0","31","463","20","0","0","562"
"2012","4","0","0","0","8","18","7","0","5","376","17","0","0","431"
"2012","5","0","0","0","26","13","3","0","19","604","28","0","0","693"
"2012","6","0","0","0","19","9","19","0","16","675","28","0","0","766"
"2012","7","0","0","0","26","84","11","0","27","1358","32","0","0","1538"
"2012","8","1","0","0","35","15","10","0","11","1217","27","0","0","1316"
"2012","9","0","0","0","15","7","4","0","14","1525","19","0","0","1584"
"2012","10","0","0","0","44","4","9","0","46","1534","30","0","0","1667"
"2012","11","0","0","0","44","0","4","0","57","1338","59","0","0","1502"
"2012","12","0","0","0","32","8","7","0","13","2217","22","0","0","2299"
"2013","1","0","0","0","13","6","16","0","37","592","28","0","0","692"
"2013","2","1","0","1","14","1","10","0","6","759","10","0","0","801"
"2013","3","1","0","1","18","3","17","0","9","1262","32","0","0","1342"
"2013","4","0","0","0","27","0","4","0","6","1394","26","0","0","1457"
"2013","5","0","0","0","19","3","6","0","24","1044","27","0","0","1123"
"2013","6","1","0","1","26","2","5","0","14","656","19","0","0","723"
"2013","7","0","0","0","22","4","14","0","35","1084","26","0","0","1185"
"2013","8","2","1","0","38","5","15","0","35","1098","32","0","0","1225"
"2013","9","1","0","1","57","0","14","1","31","962","22","0","0","1088"
"2013","10","0","0","0","32","7","6","0","86","1142","34","0","0","1307"
"2013","11","1","0","1","38","2","5","0","64","988","29","0","0","1127"
"2013","12","5","0","0","26","2","0","0","13","1274","20","0","0","1340"
"2014","1","1","0","1","18","0","8","0","8","445","29","61","2047","2617"
"2014","2","1","1","0","12","2","16","0","4","586","25","1029","2777","4452"
"2014","3","0","0","0","24","1","11","0","5","1626","46","3788","13544","19045"
"2014","4","1","0","1","13","0","6","0","4","1709","21","676","3510","5940"
"2014","5","1","0","1","14","0","10","0","3","1454","17","342","1513","3354"
"2014","6","4","0","0","11","3","17","0","20","1548","16","1117","5938","8674"
"2014","7","0","0","0","25","2","1","0","32","1661","33","909","8564","11227"
"2014","8","0","0","0","30","1","6","0","24","688","23","3121","18958","22851"
"2014","9","1","0","1","9","0","5","0","20","494","17","1210","6641","8397"
"2014","10","0","0","0","23","1","11","0","425","501","26","2392","8252","11631"
"2014","11","1","0","1","18","1","6","0","39","439","27","959","11735","13225"
"2014","12","0","0","0","16","1","5","0","6","665","25","1933","22464","25115"
"2015","1","1","0","1","22","0","9","0","139","375","23","1745","3879","6193"
"2015","2","0","0","0","9","3","10","0","39","272","14","2108","6108","8563"
"2015","3","0","0","0","16","0","16","0","98","717","23","2166","4572","7608"
"2015","4","0","0","0","27","0","10","1","27","353","35","0","0","453"
"2015","5","0","0","0","14","4","10","0","102","536","18","1348","11046","13078"
"2015","6","0","0","0","16","0","9","0","46","664","21","580","15280","16616"
"2015","7","0","0","0","13","0","12","0","94","962","24","2538","16257","19900"
"2015","8","1","0","1","13","2","3","0","124","1966","25","509","9073","11716"
"2015","9","44","0","44","21","3","6","0","70","1414","12","170","10722","12462"
"2015","10","0","0","0","28","2","7","0","26","1124","38","0","19824","21049"
"2015","11","0","0","0","16","1","11","0","30","2003","38","336","5855","8290"
"2015","12","2","0","2","18","2","3","0","21","2532","40","19","20643","23280"
"2016","1","2","0","2","17","3","8","0","76","702","24","23","2291","3146"
"2016","2","0","0","0","20","4","0","0","61","713","17","13","701","1529"
