"Year","Month","Demolition","Building repair","Investigation on buildings Defects","Hillsides repairs","Buried services investigation","Removal of dangerous advertising signs","Removal of unauthorised building works","Defective drainage repairs/investigation","Prescribed inspection/repair for buildings","Prescribed inspection/repair for windows","Total"
"2011","6","4","21","3","16","0","46","917","20","0","0","1027"
"2011","7","0","9","4","20","0","32","797","14","0","0","876"
"2011","8","0","35","3","4","0","42","766","25","0","0","875"
"2011","9","0","34","1","4","1","45","467","13","0","0","565"
"2011","10","1","24","6","2","0","50","664","23","0","0","770"
"2011","11","0","23","13","15","0","56","889","11","0","0","1007"
"2011","12","1","13","4","2","0","87","736","13","0","0","856"
"2012","1","0","10","0","15","0","19","362","35","0","0","441"
"2012","2","0","15","64","5","1","53","408","16","0","0","562"
"2012","3","0","13","5","5","0","46","541","20","0","0","630"
"2012","4","0","12","6","7","0","9","373","19","0","0","426"
"2012","5","0","17","1","1","0","21","526","20","0","0","586"
"2012","6","0","28","7","3","1","17","597","23","0","0","676"
"2012","7","0","16","3","2","0","28","615","22","0","0","686"
"2012","8","4","35","1","9","0","22","603","25","0","0","699"
"2012","9","0","30","1","5","0","14","535","18","0","0","603"
"2012","10","0","23","3","11","0","19","500","16","0","0","572"
"2012","11","0","27","2","6","0","28","1000","16","0","0","1079"
"2012","12","0","15","0","6","0","65","750","12","0","0","848"
"2013","1","1","15","4","12","0","25","732","14","0","0","803"
"2013","2","0","14","3","4","0","18","524","16","0","0","579"
"2013","3","1","21","1","5","0","17","483","14","0","0","542"
"2013","4","1","25","4","0","0","8","711","7","0","0","756"
"2013","5","1","27","4","9","0","16","769","15","0","0","841"
"2013","6","0","34","18","5","0","9","687","19","0","0","772"
"2013","7","0","50","4","9","0","22","828","15","0","0","928"
"2013","8","0","45","5","7","0","22","718","31","0","0","828"
"2013","9","1","29","10","6","1","32","634","22","0","0","735"
"2013","10","0","34","4","9","0","33","824","16","0","0","920"
"2013","11","0","26","2","3","0","58","538","19","0","0","646"
"2013","12","0","13","4","6","0","50","541","13","0","0","627"
"2014","1","0","15","5","31","0","8","877","13","26","61","1036"
"2014","2","0","15","4","4","0","11","783","6","2","381","1206"
"2014","3","1","31","2","6","1","4","1105","33","39","432","1654"
"2014","4","1","24","8","3","0","29","1085","28","11","983","2172"
"2014","5","1","20","0","0","1","12","1226","21","3","2398","3682"
"2014","6","1","43","2","11","0","22","1190","24","94","4131","5518"
"2014","7","1","25","7","7","0","19","1237","21","260","16267","17844"
"2014","8","0","35","11","1","0","20","1418","19","149","15065","16718"
"2014","9","0","27","2","3","0","30","1024","18","85","7346","8535"
"2014","10","1","57","5","3","0","225","1014","27","210","4589","6131"
"2014","11","0","41","6","13","0","170","782","19","60","4095","5186"
"2014","12","0","13","3","0","0","16","639","11","45","2216","2943"
"2015","1","0","47","2","7","0","99","1218","37","114","5535","7059"
"2015","2","0","39","9","2","0","40","948","25","163","15305","16531"
"2015","3","1","34","2","5","0","65","1198","20","30","11993","13348"
"2015","4","2","29","15","2","0","80","1267","27","61","10305","11788"
"2015","5","1","32","4","1","0","43","1024","32","50","7435","8622"
"2015","6","0","27","1","4","0","67","1073","34","129","6956","8291"
"2015","7","0","19","1","8","0","55","1147","32","152","9820","11234"
"2015","8","0","26","7","4","0","39","1247","29","251","10131","11734"
"2015","9","6","34","3","5","0","54","1268","28","711","11133","13242"
"2015","10","0","32","7","5","0","67","1089","14","842","13123","15179"
"2015","11","1","27","14","10","1","59","1107","22","1492","10290","13023"
"2015","12","0","45","5","22","0","12","1076","26","252","11601","13039"
"2016","1","1","27","6","7","1","32","1025","29","282","11983","13393"
"2016","2","2","23","3","4","0","52","858","24","253","11640","12859"
"2016","3","46","39","4","11","0","56","1162","24","405","13380","15127"
"2016","4","0","48","8","8","0","61","1011","34","968","15980","18118"
"2016","5","0","34","12","5","0","84","1299","28","668","23169","25299"
"2016","6","0","30","5","5","0","60","1198","26","241","12941","14506"
