building_id,ds1_objectid,address,district,region,building_type,usage,completion_date,age_years,latitude,longitude,notice_count,last_update,bad_event,score
836718,13038,993 KING'S RD TAK LEE BUILDING,Eastern,Hong Kong,Tower,Residential/Composite,1971-10-26,54.6,22.285426260113866,114.21183130037424,431,2025/07/30 11:44:47+00,1,100.0
1931728,32738,30 HIU KWONG ST HIU MING COURT,Kwun Tong,Kowloon,Tower,Residential/Composite,1979-09-07,46.7,22.317687940246287,114.23066239984996,278,2025/07/30 11:44:47+00,1,92.8
1932005,32739,32 HIU KWONG ST HIU KWONG COURT,Kwun Tong,Kowloon,Tower,Residential/Composite,1979-09-07,46.7,22.317868210249745,114.23085799969704,276,2025/07/30 11:44:47+00,1,92.7
503263,8196,7 GREIG RD TAI KUT HSE,Eastern,Hong Kong,Tower,Residential/Composite,1966-01-19,60.4,22.28400393013732,114.21439210011532,201,2025/07/30 11:44:47+00,1,87.5
503849,8198,9 GREIG RD TAI MING HSE,Eastern,Hong Kong,Tower,Residential/Composite,1966-01-19,60.4,22.28346686040732,114.21461110032205,199,2025/07/30 11:44:47+00,1,87.3
727764,11102,8D NORTH POINT RD YEE ON MANSION,Eastern,Hong Kong,Tower,Residential/Composite,1964-02-22,62.3,22.29128472001389,114.19691790044078,180,2025/07/30 11:44:47+00,1,85.7
904630,13996,1 LEIGHTON RD YUE KING BUILDING,Wan Chai,Hong Kong,Tower,Residential/Composite,1971-12-31,54.4,22.276715630022352,114.18068180012506,162,2025/07/30 11:44:47+00,1,83.9
1895969,31853,10 HONG PAK PATH MOUNT PARKER LODGE BLK A,Eastern,Hong Kong,Tower,Residential/Composite,1989-10-13,36.6,22.281112209560888,114.21306910025883,111,2025/07/30 11:44:47+00,1,77.8
1511289,23843,10 TAK KEI ST CITY ONE SHATIN (BLK 5),Sha Tin,New Territories,Tower,Residential/Composite,1980-10-01,45.7,22.38872985020248,114.20265560027576,110,2025/07/30 11:44:47+00,1,77.6
1479266,23524,3 PAK LEE ST CITY ONE SHATIN (BLK 14),Sha Tin,New Territories,Tower,Residential/Composite,1981-03-11,45.2,22.3879361697185,114.20160999990162,109,2025/07/30 11:44:47+00,1,77.5
