object_id,score_name,score_value
3,Ground subsidence (InSAR),1.0
7,Ground subsidence (InSAR),0.5535
51,Ground subsidence (InSAR),0.0785
91,Ground subsidence (InSAR),0.1486
92,Ground subsidence (InSAR),0.1511
94,Ground subsidence (InSAR),0.2644
95,Ground subsidence (InSAR),0.2644
97,Ground subsidence (InSAR),0.2021
120,Ground subsidence (InSAR),0.0305
121,Ground subsidence (InSAR),0.0305
122,Ground subsidence (InSAR),0.0305
127,Ground subsidence (InSAR),1.0
128,Ground subsidence (InSAR),1.0
129,Ground subsidence (InSAR),1.0
130,Ground subsidence (InSAR),1.0
131,Ground subsidence (InSAR),0.084
132,Ground subsidence (InSAR),0.084
134,Ground subsidence (InSAR),0.084
136,Ground subsidence (InSAR),0.084
137,Ground subsidence (InSAR),0.084
138,Ground subsidence (InSAR),0.084
139,Ground subsidence (InSAR),0.1091
145,Ground subsidence (InSAR),0.0749
146,Ground subsidence (InSAR),0.0749
147,Ground subsidence (InSAR),0.0749
148,Ground subsidence (InSAR),0.0749
149,Ground subsidence (InSAR),0.0749
150,Ground subsidence (InSAR),0.0749
152,Ground subsidence (InSAR),0.0749
153,Ground subsidence (InSAR),0.1626
155,Ground subsidence (InSAR),0.1626
158,Ground subsidence (InSAR),0.1626
161,Ground subsidence (InSAR),0.1076
162,Ground subsidence (InSAR),0.1076
163,Ground subsidence (InSAR),0.1076
182,Ground subsidence (InSAR),0.1346
183,Ground subsidence (InSAR),0.1076
184,Ground subsidence (InSAR),0.1346
185,Ground subsidence (InSAR),0.1346
186,Ground subsidence (InSAR),0.1346
187,Ground subsidence (InSAR),0.0759
188,Ground subsidence (InSAR),0.0759
189,Ground subsidence (InSAR),0.0462
190,Ground subsidence (InSAR),0.0462
191,Ground subsidence (InSAR),0.0462
192,Ground subsidence (InSAR),0.0462
193,Ground subsidence (InSAR),0.0462
194,Ground subsidence (InSAR),0.1345
195,Ground subsidence (InSAR),0.0305
196,Ground subsidence (InSAR),0.0305
197,Ground subsidence (InSAR),0.0305
