OBJECTID,age,use_class,structure,district,LATITUDE,LONGITUDE,label,risk_score
15950,78.0,Residential/Composite,Tower,Kowloon City,22.32982126,114.1885769,0,94.1
8889,78.0,Residential/Composite,Tower,Kowloon City,22.32800524,114.1877258,0,93.9
27736,78.0,Residential/Composite,Tower,Kowloon City,22.32916302,114.1872677,0,93.6
27686,77.0,Residential/Composite,Tower,Kowloon City,22.32912731,114.1885656,0,93.6
15943,77.0,Residential/Composite,Tower,Kowloon City,22.32933868,114.1885594,0,93.5
4051,77.0,Residential/Composite,Tower,Kowloon City,22.32783603,114.1871415,0,93.5
21376,77.0,Residential/Composite,Tower,Kowloon City,22.32985056,114.1877989,0,93.5
14396,78.0,Residential/Composite,Tower,Kowloon City,22.33749706,114.1777497,0,93.5
21380,77.0,Residential/Composite,Tower,Kowloon City,22.32992835,114.1878025,0,93.5
20183,77.0,Residential/Composite,Tower,Kowloon City,22.32946071,114.1874201,0,93.4
15951,76.0,Residential/Composite,Tower,Kowloon City,22.32988944,114.1885797,0,93.4
15955,76.0,Residential/Composite,Tower,Kowloon City,22.33001193,114.1885847,0,93.4
15722,78.0,Residential/Composite,Tower,Kowloon City,22.32860603,114.1879599,0,93.3
15780,77.0,Residential/Composite,Tower,Kowloon City,22.32960673,114.1883611,0,93.1
15778,77.0,Residential/Composite,Tower,Kowloon City,22.32950516,114.1883574,0,93.1
15784,77.0,Residential/Composite,Tower,Kowloon City,22.32970762,114.1883648,0,93.1
19326,77.0,Residential/Composite,Tower,Kowloon City,22.31829521,114.1884722,0,93.1
43726,77.0,Residential/Composite,Tower,Kowloon City,22.32966649,114.1877915,0,93.1
20175,77.0,Residential/Composite,Tower,Kowloon City,22.32871791,114.1873848,0,93.0
20177,77.0,Residential/Composite,Tower,Kowloon City,22.32880483,114.1873885,0,93.0
27697,77.0,Residential/Composite,Tower,Kowloon City,22.32913337,114.1884141,0,93.0
27691,77.0,Residential/Composite,Tower,Kowloon City,22.32913064,114.188517,0,93.0
25637,79.0,Residential/Composite,Tower,Yau Tsim Mong,22.32203646,114.1671558,0,92.9
38309,76.0,Residential/Composite,Tower,Kowloon City,22.33982469,114.1768366,0,92.9
15714,78.0,Residential/Composite,Tower,Kowloon City,22.32821808,114.187949,0,92.8
15764,77.0,Residential/Composite,Tower,Kowloon City,22.32867531,114.1883261,0,92.8
12154,77.0,Residential/Composite,Tower,Sham Shui Po,22.33760999,114.1577117,0,92.8
15740,75.0,Residential/Composite,Tower,Kowloon City,22.33027399,114.188029,0,92.7
4225,69.0,Residential/Composite,Tower,Kowloon City,22.31469561,114.1884197,0,92.6
19850,75.0,Residential/Composite,Tower,Kowloon City,22.31826615,114.1886877,0,92.6
21284,75.0,Residential/Composite,Tower,Kowloon City,22.33178777,114.1790587,0,92.6
15956,74.0,Residential/Composite,Tower,Kowloon City,22.33008738,114.1885879,0,92.6
4222,69.0,Residential/Composite,Tower,Kowloon City,22.31462363,114.1883525,0,92.6
4962,77.0,Residential/Composite,Tower,Sham Shui Po,22.32968843,114.1665073,0,92.5
39879,75.0,Residential/Composite,Tower,Kowloon City,22.33100948,114.1867017,0,92.5
20187,75.0,Residential/Composite,Tower,Kowloon City,22.32968199,114.1874292,0,92.5
1231,78.0,Residential/Composite,Tower,Yau Tsim Mong,22.32524002,114.17298,0,92.5
20186,74.0,Residential/Composite,Tower,Kowloon City,22.3295979,114.1874252,0,92.5
15965,74.0,Residential/Composite,Tower,Kowloon City,22.33031201,114.1885965,0,92.5
2585,76.0,Residential/Composite,Tower,Sham Shui Po,22.33117918,114.1644485,0,92.4
2584,76.0,Residential/Composite,Tower,Sham Shui Po,22.33112952,114.164504,0,92.4
15756,77.0,Residential/Composite,Tower,Kowloon City,22.32825811,114.1883106,0,92.4
1232,78.0,Residential/Composite,Tower,Yau Tsim Mong,22.32529252,114.1732051,0,92.4
3483,78.0,Residential/Composite,Tower,Kowloon City,22.32789773,114.1838152,0,92.4
1217,78.0,Residential/Composite,Tower,Yau Tsim Mong,22.32502912,114.1719347,0,92.3
4033,75.0,Residential/Composite,Tower,Kowloon City,22.31866042,114.1889032,0,92.3
15747,74.0,Residential/Composite,Tower,Kowloon City,22.33047122,114.1880373,0,92.3
14103,77.0,Residential/Composite,Tower,Sham Shui Po,22.33528522,114.1606742,0,92.3
15745,74.0,Residential/Composite,Tower,Kowloon City,22.33037288,114.1880331,0,92.3
41235,73.0,Residential/Composite,Tower,Kowloon City,22.33277885,114.1802082,0,92.3
25842,77.0,Residential/Composite,Tower,Sham Shui Po,22.33525079,114.1607324,0,92.3
15953,73.0,Residential/Composite,Tower,Kowloon City,22.32993816,114.1885811,0,92.2
4093,77.0,Residential/Composite,Tower,Kowloon City,22.31754895,114.1888392,0,92.1
27445,74.0,Residential/Composite,Tower,Kowloon City,22.33008597,114.1872306,0,92.0
2749,78.0,Residential/Composite,Tower,Yau Tsim Mong,22.3112006,114.1700808,0,92.0
21592,73.0,Residential/Composite,Tower,Kowloon City,22.32383129,114.1751206,0,92.0
1225,78.0,Residential/Composite,Tower,Yau Tsim Mong,22.32514857,114.172468,0,92.0
1227,78.0,Residential/Composite,Tower,Yau Tsim Mong,22.32518499,114.1726694,0,92.0
3016,76.0,Residential/Composite,Tower,Kowloon City,22.31252418,114.1878413,0,92.0
1226,78.0,Residential/Composite,Tower,Yau Tsim Mong,22.3251672,114.1725684,0,92.0
17548,78.0,Residential/Composite,Tower,Yau Tsim Mong,22.32505657,114.1723215,0,91.9
36646,69.0,Residential/Composite,Tower,Kowloon City,22.31352448,114.1878244,0,91.9
18177,77.0,Residential/Composite,Tower,Sham Shui Po,22.32763464,114.1624325,0,91.9
36647,69.0,Residential/Composite,Tower,Kowloon City,22.31361252,114.1878244,0,91.9
11305,76.0,Residential/Composite,Tower,Sham Shui Po,22.33459358,114.1610508,0,91.9
12167,77.0,Residential/Composite,Tower,Sham Shui Po,22.33774994,114.1575245,0,91.9
12182,77.0,Residential/Composite,Tower,Sham Shui Po,22.33790174,114.1573267,0,91.9
12177,77.0,Residential/Composite,Tower,Sham Shui Po,22.33785039,114.1573907,1,91.9
18181,78.0,Residential/Composite,Tower,Sham Shui Po,22.32765313,114.1624089,0,91.9
1499,79.0,Residential/Composite,Tower,Yau Tsim Mong,22.32118756,114.1681283,0,91.9
12171,77.0,Residential/Composite,Tower,Sham Shui Po,22.33780017,114.1574572,0,91.9
35127,77.0,Residential/Composite,Tower,Sham Shui Po,22.32723069,114.1643333,0,91.9
36648,69.0,Residential/Composite,Tower,Kowloon City,22.31370114,114.1878241,0,91.9
19919,73.0,Residential/Composite,Tower,Kowloon City,22.32934083,114.1900375,0,91.8
19921,73.0,Residential/Composite,Tower,Kowloon City,22.32945483,114.1900424,1,91.8
19923,73.0,Residential/Composite,Tower,Kowloon City,22.32968652,114.1900514,0,91.8
19327,74.0,Residential/Composite,Tower,Kowloon City,22.31832259,114.188486,0,91.8
20188,74.0,Residential/Composite,Tower,Kowloon City,22.32977563,114.1874328,0,91.8
