OBJECTID,top_height_m,base_height_m,storeys,building_height_m
33110,89.6,78.1,2.0,11.5
33741,18.4,4.1,,14.299999999999999
33749,204.7,176.6,3.0,28.099999999999994
33753,190.7,180.5,2.0,10.199999999999989
33757,183.4,176.5,2.0,6.900000000000006
33761,182.4,175.9,2.0,6.5
33767,185.4,172.0,2.0,13.400000000000006
33772,185.9,172.3,2.0,13.599999999999994
33778,185.8,176.1,2.0,9.700000000000017
33785,184.7,176.4,2.0,8.299999999999983
33923,11.0,2.6,2.0,8.4
37169,12.6,2.8,,9.8
37180,,,,
37181,,,,
37182,16.1,4.5,,11.600000000000001
37183,16.1,4.8,,11.3
37184,16.1,4.6,,11.500000000000002
39110,207.8,195.5,2.0,12.300000000000011
39151,96.2,85.5,,10.700000000000003
39186,222.1,218.9,2.0,3.1999999999999886
39337,11.9,4.2,,7.7
39416,275.2,264.0,,11.199999999999989
39417,268.0,259.8,,8.199999999999989
39418,267.9,259.8,,8.099999999999966
39789,95.5,88.6,2.0,6.900000000000006
40354,18.4,4.1,,14.299999999999999
41207,11.0,2.6,2.0,8.4
44980,24.3,13.8,2.0,10.5
23672,195.5,188.3,,7.199999999999989
33733,,,,
31994,,,,
28935,9.0,4.3,2.0,4.7
31414,30.6,20.5,2.0,10.100000000000001
36923,12.5,6.0,1.0,6.5
37438,24.2,20.5,1.0,3.6999999999999993
37864,18.7,13.8,1.0,4.899999999999999
37865,14.6,10.7,1.0,3.9000000000000004
37866,14.1,9.8,1.0,4.299999999999999
37867,16.3,7.3,2.0,9.0
37868,15.1,8.0,2.0,7.1
37869,21.6,17.0,1.0,4.600000000000001
38219,11.8,8.4,1.0,3.4000000000000004
42113,22.0,11.5,2.0,10.5
47103,16.1,8.4,2.0,7.700000000000001
47104,16.8,10.1,2.0,6.700000000000001
47972,25.1,17.5,2.0,7.600000000000001
47973,21.6,14.5,2.0,7.100000000000001
47974,25.1,17.5,2.0,7.600000000000001
47975,25.1,17.5,2.0,7.600000000000001
47976,24.9,17.9,2.0,7.0
47977,25.1,17.8,2.0,7.300000000000001
23570,461.1,455.6,2.0,5.5
36572,451.1,443.1,2.0,8.0
37728,454.1,446.6,2.0,7.5
38065,489.3,482.2,3.0,7.100000000000023
38084,451.2,441.2,2.0,10.0
38085,452.1,442.3,2.0,9.800000000000011
42323,448.3,433.4,1.0,14.900000000000034
42326,,,,
42327,441.1,433.3,2.0,7.800000000000011
42328,442.6,433.3,2.0,9.300000000000011
46389,478.8,448.4,5.0,30.400000000000034
46390,451.2,445.2,2.0,6.0
46391,455.2,443.2,1.0,12.0
46392,455.0,443.2,1.0,11.800000000000011
32001,17.0,5.8,3.0,11.2
32004,18.9,4.1,3.0,14.799999999999999
32037,26.1,6.5,6.0,19.6
32047,18.3,5.1,5.0,13.200000000000001
32053,29.5,5.8,13.0,23.7
32110,16.8,6.2,,10.600000000000001
32119,17.6,6.0,1.0,11.600000000000001
32123,30.8,5.7,8.0,25.1
32211,15.2,5.9,,9.299999999999999
32218,21.2,6.0,4.0,15.2
32341,16.5,6.6,2.0,9.9
32407,,,,
32766,14.7,6.6,2.0,8.1
36148,39.0,6.8,10.0,32.2
37984,15.3,5.2,2.0,10.100000000000001
38073,13.7,6.9,,6.799999999999999
38699,49.5,5.7,,43.8
38864,41.9,6.2,6.0,35.699999999999996
40184,23.5,5.5,3.0,18.0
41257,12.8,3.2,3.0,9.600000000000001
42329,37.1,7.0,7.0,30.1
42395,18.0,6.4,2.0,11.6
42712,45.6,5.8,6.0,39.800000000000004
42721,49.5,5.7,,43.8
42885,23.1,6.5,2.0,16.6
42912,23.5,5.5,3.0,18.0
43759,39.5,6.3,6.0,33.2
43875,45.3,6.3,5.0,39.0
45282,43.7,5.8,6.0,37.900000000000006
45283,43.7,5.8,6.0,37.900000000000006
45284,43.7,5.8,6.0,37.900000000000006
46072,18.2,10.1,,8.1
46839,29.7,7.4,6.0,22.299999999999997
48644,15.1,7.1,2.0,8.0
49310,22.8,6.5,3.0,16.3
49694,10.3,5.9,,4.4
50043,11.6,7.4,,4.199999999999999
50178,12.3,7.1,,5.200000000000001
50298,37.2,6.1,,31.1
50454,13.5,6.3,,7.2
8,17.1,7.1,,10.000000000000002
39030,,,,
49731,13.3,6.9,,6.4
50040,11.0,5.6,,5.4
50107,25.1,7.3,,17.8
50128,37.0,7.3,,29.7
50231,9.9,5.8,,4.1000000000000005
50871,,,,
51025,,,,
32248,28.6,7.2,,21.400000000000002
